"Barcode";"Name";"Volume";"Count"
"7801620016036";"KEM 12PF-PET 500";"500";"1599"
"7801610230510";"Inca Kola Zero Pet 1,5 Lts. x 6";"1500";"303"
"7809595601318";"Puyehue";"500";"89"
"7801610441572";"Coca Cola Zero Cherry PT1.5 X6";"1500";"22"
"7801610022122";"Coca-Cola Light";"350";"2276"
"7801620016067";"BILZ 6PFX4-PET 250";"250";"1710"
"7802820441789";"Benedictino Natural Sin Gas";"2000";"844"
"7809634100178";"Cerveza Austral Lager";"350";"108"
"7804301500411";"Sorbete Letelier de Guinda";"2000";"11"
"7802820990102";"Vital de Chanqueahue mineral sin gas";"990";"780"
"7801620004408";"Canada Dry Ginger Ale Light";"310";"262"
"7790895640469";"Aquarius by Cep Pomelo 500 PET 1X6 -45*7";"500";"1"
"7801620001223";"KEM 6PF-PET 3000";"3000";"3"
"7801610481011";"Aquarius Andina Pera";"500";"440"
"7801620001711";"KEM XTREME 12PF-PET 500";"500";"1852"
"7801610002933";"Fanta Sabor Naranja";"250";"322"
"7801620011840";"GATORADE FRUT TROP 6PF-PET500";"500";"378"
"7801610125021";"Coca Cola Light Pet 1,25 lts x 6";"1250";"1"
"7801620005306";"KEM ZERO 6PF-PET 1500";"1500";"350"
"7801620006983";"GATORADE GREEN APPLE 6P-PET1.0";"1000";"15"
"7804167001848";"Nativa Agua Con Gas";"500";"303"
"4101940426823";"Apoftel Brau";"350";"362"
"7801620330217";"CRUSH 6PF-PET 1500";"1500";"735"
"7802820210729";"Andina Frut Naranja Light  Pet 2.0  x 6";"2000";"273"
"7802100506238";"Anana Stones Cerveza Pina";"350";"207"
"7801610000335";"Coca Cola Zero";"250";"115"
"7802820851021";"Powerade Frozen Blast PT 1Lt*6";"1000";"798"
"7801610035719";"Tai Pina pet 2,0 lts *6";"2000";"70"
"7801610118269";"Quatro Light pt 1,5 lts *6 term.";"1500";"361"
"7801620015800";"CACHANTUN C/GAS 12PF-PET 500";"500";"11961"
"7790895641213";"Aquarius by Cep Naranj 500 Pet 1x6 -45*7";"500";"1"
"7802100002907";"Cerveza Andes Lager";"470";"2708"
"7801620015855";"CACHANTUN L/GAS 6PF-PET 1600";"1600";"6505"
"884394006974";"OKF Coconut Drink";"500";"1"
"4014086020308";"Oettinger Weissbier";"500";"16"
"7790895001260";"Glaceau Vitamin Water";"500";"82"
"7801620852955";"CACHANTUN C/GAS 6PF-PET 1600";"1600";"12073"
"7802820700251";"Andina Frut Piña Pet 1,5  x 6";"1500";"1096"
"7801620004910";"PAP ZERO PET 1500 X 06";"1500";"386"
"7801620005191";"GATORADE COOL BL 12PF-PET 750";"750";"1647"
"7801620360153";"GINGER ALE 6PFX4-LATA 350";"350";"663"
"7801620340186";"LIMON SODA 6PF-PET 1500";"1500";"1001"
"7801610005934";"Sprite";"250";"152"
"7801620410162";"PORVENIR C/GAS 6PF-PET 1500";"1500";"121"
"9002490221010";"RED BULL TRADIC LATA 355X24";"355";"1220"
"7802820210422";"And.Nectar Durazno Pet 2.0  x6";"2000";"724"
"7802820672145";"Powerade Zero Uva PT1.0 x6";"1000";"20"
"7790895008504";"Aquarius Limonada 2,25x 6 PET";"2000";"2"
"7801620006853";"PEPSI ZERO 12PF-PET 500";"500";"1081"
"7804167001855";"Nativa Agua Sin Gas";"500";"5"
"7801620003302";"LIPTON LIMON 6PF-PET 400";"400";"210"
"70847009559";"Monster J Ripper Lata 473cc X6";"473";"576"
"7801610323236";"Coca-Cola Original";"3000";"7"
"7802820700435";"Andina Frut Manzana Pet 1,5  x 6";"1500";"641"
"7801620006228";"GATORADE LIMA LIMON 6PF-PET1.0";"1000";"2"
"7801620006129";"MAS CATUN WOM BERR 6PF-PET 1.5";"1500";"85"
"7801610022979";"coca cola light pet 1 litro x 6";"1000";"248"
"7894900320015";"SCHWEPPES CITRUS LATA 350ML CX 6UN - ME";"350";"2"
"7808731303291";"Portillo Pure Natural Water sin gas";"500";"9"
